Product_ID;Suppliercode;Category;Category_Name;Quantity;Supplier_ID;Distance;Day_of_Costumer_Order;Week_name;Month_of_Costumer_Order;Month;Year;Day_DataDDT;Day_of_week_DataDDT;Month_DataDDT;Year_DataDDT;Supplier_Lead_Time;Total_Lead_Time,
15;499;N;Nutritional;208;8;154,9403;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;7
16;499;N;Nutritional;660;8;154,9403;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;7
17;499;N;Nutritional;424;8;154,9403;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;7
15;499;N;Nutritional;416;8;154,9403;3;Wednesday;1;JANUARY;2018;4;5;1;2018;1;7
12;3357;N;Nutritional;576;6;71,4237;4;Thursday;1;JANUARY;2018;9;3;1;2018;5;6
12;3357;N;Nutritional;324;6;71,4237;4;Thursday;1;JANUARY;2018;9;3;1;2018;5;6
13;3357;N;Nutritional;180;6;71,4237;4;Thursday;1;JANUARY;2018;9;3;1;2018;5;6
13;3357;N;Nutritional;160;6;71,4237;4;Thursday;1;JANUARY;2018;9;3;1;2018;5;6
18;3006;A;Antiblastic/tumoral;300;9;155,6913;5;Friday;1;JANUARY;2018;5;6;1;2018;0;5
19;1907;A;Antiblastic/tumoral;150;10;147,4955;9;Tuesday;1;JANUARY;2018;9;3;1;2018;0;1
20;2015;A;Antiblastic/tumoral;560;11;149,3641;8;Monday;1;JANUARY;2018;8;2;1;2018;0;2
21;1600;V;Dialysis;5000;12;69,808;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;8
21;1600;V;Dialysis;3000;12;69,808;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;8
22;1600;V;Dialysis;800;12;69,808;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;8
22;1600;V;Dialysis;200;12;69,808;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;8
23;1600;V;Dialysis;200;12;69,808;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;8
24;1600;V;Dialysis;800;12;69,808;5;Friday;1;JANUARY;2018;9;3;1;2018;4;6
25;4157;N;Nutritional;400;13;268,0521;8;Monday;1;JANUARY;2018;8;2;1;2018;0;3
26;2479;V;Dialysis;500;14;148,9924;8;Monday;1;JANUARY;2018;10;4;1;2018;2;3
27;2479;V;Dialysis;500;14;148,9924;8;Monday;1;JANUARY;2018;10;4;1;2018;2;3
28;2479;V;Dialysis;500;14;148,9924;8;Monday;1;JANUARY;2018;10;4;1;2018;2;3
29;2433;W;Heavy items;500;15;110,0216;4;Thursday;1;JANUARY;2018;5;6;1;2018;1;8
30;62;W;Heavy items;1500;16;215,3907;4;Thursday;1;JANUARY;2018;11;5;1;2018;7;8
31;62;W;Heavy items;140;16;215,3907;4;Thursday;1;JANUARY;2018;11;5;1;2018;7;8
32;62;W;Heavy items;220;16;215,3907;3;Wednesday;1;JANUARY;2018;10;4;1;2018;7;9
32;62;W;Heavy items;480;16;215,3907;3;Wednesday;1;JANUARY;2018;10;4;1;2018;7;9
32;62;W;Heavy items;100;16;215,3907;3;Wednesday;1;JANUARY;2018;10;4;1;2018;7;9
33;499;N;Nutritional;216;8;154,9403;10;Wednesday;1;JANUARY;2018;11;5;1;2018;1;2
34;499;N;Nutritional;984;8;154,9403;10;Wednesday;1;JANUARY;2018;11;5;1;2018;1;2
35;2219;A;Antiblastic/tumoral;150;17;173,9101;9;Tuesday;1;JANUARY;2018;10;4;1;2018;1;3
36;2205;A;Antiblastic/tumoral;900;18;154,4932;9;Tuesday;1;JANUARY;2018;9;3;1;2018;0;3
37;204;D;Diagnostic;300;19;157,7225;5;Friday;1;JANUARY;2018;10;4;1;2018;5;7
38;204;D;Diagnostic;288;19;157,7225;5;Friday;1;JANUARY;2018;10;4;1;2018;5;7
39;204;D;Diagnostic;300;19;157,7225;5;Friday;1;JANUARY;2018;10;4;1;2018;5;7
40;204;D;Diagnostic;300;19;157,7225;5;Friday;1;JANUARY;2018;10;4;1;2018;5;7
41;204;D;Diagnostic;300;19;157,7225;5;Friday;1;JANUARY;2018;10;4;1;2018;5;7
42;1837;A;Antiblastic/tumoral;1000;1;245,0108;9;Tuesday;1;JANUARY;2018;11;5;1;2018;2;3
43;86;W;Heavy items;120;20;168,4279;3;Wednesday;1;JANUARY;2018;9;3;1;2018;6;9
44;2689;D;Diagnostic;2000;21;320,0544;10;Wednesday;1;JANUARY;2018;12;6;1;2018;2;2
45;2689;D;Diagnostic;2000;21;320,0544;12;Friday;1;JANUARY;2018;12;6;1;2018;0;0
46;2689;D;Diagnostic;1200;21;320,0544;12;Friday;1;JANUARY;2018;12;6;1;2018;0;0
47;2547;N;Nutritional;2400;22;174,2818;10;Wednesday;1;JANUARY;2018;10;4;1;2018;0;5
48;3317;V;Dialysis;150;4;426,1771;10;Wednesday;1;JANUARY;2018;12;6;1;2018;2;5
49;2479;V;Dialysis;500;14;148,9924;5;Friday;1;JANUARY;2018;12;6;1;2018;7;10
50;2479;V;Dialysis;200;14;148,9924;4;Thursday;1;JANUARY;2018;12;6;1;2018;8;11
51;1882;W;Heavy items;120;23;232,8972;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
52;2689;D;Diagnostic;4000;21;320,0544;10;Wednesday;1;JANUARY;2018;15;2;1;2018;5;6
53;499;N;Nutritional;440;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
53;499;N;Nutritional;624;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
53;499;N;Nutritional;312;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
54;499;N;Nutritional;600;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
55;499;N;Nutritional;1512;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
55;499;N;Nutritional;888;8;154,9403;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
1;1837;W;Heavy items;400;1;245,0108;10;Wednesday;1;JANUARY;2018;12;6;1;2018;2;6
56;935;X; Toxic;600;24;182,9855;10;Wednesday;1;JANUARY;2018;12;6;1;2018;2;6
57;2786;V;Dialysis;720;25;184,1963;3;Wednesday;1;JANUARY;2018;15;2;1;2018;12;13
58;4977;D;Diagnostic;180;26;349,5751;5;Friday;1;JANUARY;2018;10;4;1;2018;5;11
59;3029;A;Antiblastic/tumoral;300;27;153,4601;15;Monday;1;JANUARY;2018;15;2;1;2018;0;1
60;4491;X; Toxic;600;28;140,8797;10;Wednesday;1;JANUARY;2018;15;2;1;2018;5;6
61;4491;X; Toxic;600;28;140,8797;10;Wednesday;1;JANUARY;2018;15;2;1;2018;5;6
62;2506;X; Toxic;1440;29;118,7469;10;Wednesday;1;JANUARY;2018;15;2;1;2018;5;6
63;2547;N;Nutritional;800;22;174,2818;12;Friday;1;JANUARY;2018;12;6;1;2018;0;4
64;5497;N;Nutritional;900;30;184,3942;12;Friday;1;JANUARY;2018;15;2;1;2018;3;4
65;1891;V;Dialysis;350;31;184,7277;8;Monday;1;JANUARY;2018;15;2;1;2018;7;8
66;5069;V;Dialysis;100;32;63,5006;10;Wednesday;1;JANUARY;2018;11;5;1;2018;1;7
67;1573;W;Heavy items;250;33;159,4121;12;Friday;1;JANUARY;2018;16;3;1;2018;4;5
68;1707;P;Prostatic;100;34;75,7901;12;Friday;1;JANUARY;2018;15;2;1;2018;3;5
69;3265;D;Diagnostic;1000;35;152,8346;9;Tuesday;1;JANUARY;2018;12;6;1;2018;3;8
70;3265;D;Diagnostic;1000;35;152,8346;9;Tuesday;1;JANUARY;2018;12;6;1;2018;3;8
71;3687;N;Nutritional;2000;2;452,7476;12;Friday;1;JANUARY;2018;15;2;1;2018;3;6
72;3687;N;Nutritional;120;2;452,7476;12;Friday;1;JANUARY;2018;15;2;1;2018;3;6
73;2820;X; Toxic;405;36;147,9154;12;Friday;1;JANUARY;2018;16;3;1;2018;4;6
74;2083;D;Diagnostic;100;37;151,3527;12;Friday;1;JANUARY;2018;15;2;1;2018;3;6
75;4491;X; Toxic;3600;28;140,8797;16;Tuesday;1;JANUARY;2018;18;5;1;2018;2;3
76;6406;X; Toxic;576;38;184,3648;12;Friday;1;JANUARY;2018;17;4;1;2018;5;7
76;6406;X; Toxic;504;38;184,3648;12;Friday;1;JANUARY;2018;17;4;1;2018;5;7
77;2219;A;Antiblastic/tumoral;350;17;173,9101;9;Tuesday;1;JANUARY;2018;17;4;1;2018;8;10
78;1741;D;Diagnostic;2000;39;115,2781;5;Friday;1;JANUARY;2018;17;4;1;2018;12;14
78;1741;D;Diagnostic;500;39;115,2781;5;Friday;1;JANUARY;2018;17;4;1;2018;12;14
79;3150;V;Dialysis;176;5;59,576;3;Wednesday;1;JANUARY;2018;12;6;1;2018;9;16
80;6477;D;Diagnostic;2400;40;8,834028;16;Tuesday;1;JANUARY;2018;16;3;1;2018;0;3
80;6477;D;Diagnostic;1200;40;8,834028;16;Tuesday;1;JANUARY;2018;16;3;1;2018;0;3
81;2433;W;Heavy items;200;15;110,0216;12;Friday;1;JANUARY;2018;19;6;1;2018;7;10
82;2433;W;Heavy items;2352;15;110,0216;10;Wednesday;1;JANUARY;2018;19;6;1;2018;9;12
83;2433;W;Heavy items;640;15;110,0216;12;Friday;1;JANUARY;2018;19;6;1;2018;7;10
83;2433;W;Heavy items;320;15;110,0216;12;Friday;1;JANUARY;2018;19;6;1;2018;7;10
84;499;N;Nutritional;792;8;154,9403;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;4
84;499;N;Nutritional;204;8;154,9403;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;4
84;499;N;Nutritional;396;8;154,9403;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;4
84;499;N;Nutritional;264;8;154,9403;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;4
85;1973;X; Toxic;360;41;146,9018;16;Tuesday;1;JANUARY;2018;17;4;1;2018;1;6
86;1837;A;Antiblastic/tumoral;120;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;4
87;661;X; Toxic;100;42;187,9879;16;Tuesday;1;JANUARY;2018;16;3;1;2018;0;6
57;2786;V;Dialysis;120;25;184,1963;3;Wednesday;1;JANUARY;2018;19;6;1;2018;16;19
57;2786;V;Dialysis;720;25;184,1963;3;Wednesday;1;JANUARY;2018;19;6;1;2018;16;19
88;2820;D;Diagnostic;2000;36;147,9154;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;12
73;2820;X; Toxic;216;36;147,9154;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;12
89;1837;W;Heavy items;1260;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
89;1837;W;Heavy items;540;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
90;1837;W;Heavy items;390;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
90;1837;W;Heavy items;1200;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
1;1837;W;Heavy items;250;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
91;1837;W;Heavy items;800;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
89;1837;W;Heavy items;600;1;245,0108;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;5
92;1837;V;Dialysis;150;1;245,0108;19;Friday;1;JANUARY;2018;19;6;1;2018;0;4
93;1837;W;Heavy items;294;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
93;1837;W;Heavy items;210;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
93;1837;W;Heavy items;330;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
94;1837;W;Heavy items;300;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
95;1837;W;Heavy items;240;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
95;1837;W;Heavy items;600;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
95;1837;W;Heavy items;360;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
96;1837;W;Heavy items;600;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
97;1837;W;Heavy items;300;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
98;1837;W;Heavy items;100;1;245,0108;12;Friday;1;JANUARY;2018;19;6;1;2018;7;11
99;1600;V;Dialysis;400;12;69,808;10;Wednesday;1;JANUARY;2018;22;2;1;2018;12;13
99;1600;V;Dialysis;300;12;69,808;10;Wednesday;1;JANUARY;2018;22;2;1;2018;12;13
100;2689;D;Diagnostic;800;21;320,0544;19;Friday;1;JANUARY;2018;19;6;1;2018;0;4
101;2929;A;Antiblastic/tumoral;800;43;148,4001;22;Monday;1;JANUARY;2018;22;2;1;2018;0;1
102;3006;A;Antiblastic/tumoral;200;9;155,6913;17;Wednesday;1;JANUARY;2018;17;4;1;2018;0;6
103;3006;A;Antiblastic/tumoral;200;9;155,6913;17;Wednesday;1;JANUARY;2018;17;4;1;2018;0;6
104;1600;V;Dialysis;100;12;69,808;16;Tuesday;1;JANUARY;2018;17;4;1;2018;1;7
105;499;N;Nutritional;1200;8;154,9403;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
106;499;N;Nutritional;1560;8;154,9403;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
107;499;N;Nutritional;160;8;154,9403;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
14;1828;W;Heavy items;500;7;182,8138;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
108;2033;X; Toxic;120;44;154,7244;19;Friday;1;JANUARY;2018;23;3;1;2018;4;5
109;3687;D;Diagnostic;600;2;452,7476;19;Friday;1;JANUARY;2018;22;2;1;2018;3;5
110;2205;A;Antiblastic/tumoral;1325;18;154,4932;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;6
111;1741;D;Diagnostic;2000;39;115,2781;12;Friday;1;JANUARY;2018;18;5;1;2018;6;12
112;1741;D;Diagnostic;3000;39;115,2781;12;Friday;1;JANUARY;2018;18;5;1;2018;6;12
113;1741;D;Diagnostic;2400;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;400;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
114;1741;D;Diagnostic;5000;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;7200;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;800;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;5200;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;1600;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
113;1741;D;Diagnostic;4800;39;115,2781;10;Wednesday;1;JANUARY;2018;18;5;1;2018;8;14
115;1573;W;Heavy items;700;33;159,4121;18;Thursday;1;JANUARY;2018;21;1;1;2018;3;6
23;1600;V;Dialysis;300;12;69,808;3;Wednesday;1;JANUARY;2018;19;6;1;2018;16;21
23;1600;V;Dialysis;1000;12;69,808;3;Wednesday;1;JANUARY;2018;19;6;1;2018;16;21
116;5497;N;Nutritional;300;30;184,3942;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
117;165;N;Nutritional;864;45;82,6092;19;Friday;1;JANUARY;2018;22;2;1;2018;3;5
5;3317;V;Dialysis;120;4;426,1771;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
5;3317;V;Dialysis;210;4;426,1771;22;Monday;1;JANUARY;2018;23;3;1;2018;1;2
118;3353;N;Nutritional;240;46;150,2368;18;Thursday;1;JANUARY;2018;18;5;1;2018;0;6
119;2547;N;Nutritional;1800;22;174,2818;23;Tuesday;1;JANUARY;2018;23;3;1;2018;0;1
120;2506;X; Toxic;528;29;118,7469;16;Tuesday;1;JANUARY;2018;23;3;1;2018;7;8
82;2433;W;Heavy items;1764;15;110,0216;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;7
121;2433;W;Heavy items;200;15;110,0216;18;Thursday;1;JANUARY;2018;19;6;1;2018;1;7
122;2433;W;Heavy items;480;15;110,0216;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
122;2433;W;Heavy items;120;15;110,0216;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
123;2433;W;Heavy items;160;15;110,0216;23;Tuesday;1;JANUARY;2018;23;3;1;2018;0;2
123;2433;W;Heavy items;640;15;110,0216;23;Tuesday;1;JANUARY;2018;23;3;1;2018;0;2
124;2433;D;Diagnostic;240;15;110,0216;16;Tuesday;1;JANUARY;2018;23;3;1;2018;7;9
124;2433;D;Diagnostic;720;15;110,0216;16;Tuesday;1;JANUARY;2018;23;3;1;2018;7;9
125;1600;V;Dialysis;300;12;69,808;22;Monday;1;JANUARY;2018;23;3;1;2018;1;3
126;1882;W;Heavy items;192;23;232,8972;23;Tuesday;1;JANUARY;2018;23;3;1;2018;0;2
127;499;N;Nutritional;240;8;154,9403;18;Thursday;1;JANUARY;2018;24;4;1;2018;6;7
106;499;N;Nutritional;456;8;154,9403;22;Monday;1;JANUARY;2018;24;4;1;2018;2;3
128;5644;N;Nutritional;1488;47;269,8687;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
129;5644;N;Nutritional;2496;47;269,8687;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
128;5644;N;Nutritional;2304;47;269,8687;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
129;5644;N;Nutritional;2304;47;269,8687;22;Monday;1;JANUARY;2018;22;2;1;2018;0;3
52;2689;D;Diagnostic;4000;21;320,0544;10;Wednesday;1;JANUARY;2018;25;5;1;2018;15;16
130;5644;N;Nutritional;2400;47;269,8687;23;Tuesday;1;JANUARY;2018;23;3;1;2018;0;3
113;1741;D;Diagnostic;4000;39;115,2781;10;Wednesday;1;JANUARY;2018;24;4;1;2018;14;16
131;499;N;Nutritional;1200;8;154,9403;23;Tuesday;1;JANUARY;2018;24;4;1;2018;1;3
132;2929;A;Antiblastic/tumoral;120;43;148,4001;23;Tuesday;1;JANUARY;2018;24;4;1;2018;1;3
133;2929;A;Antiblastic/tumoral;120;43;148,4001;23;Tuesday;1;JANUARY;2018;24;4;1;2018;1;3
134;5735;Y;Narcotic;1400;48;148,1726;16;Tuesday;1;JANUARY;2018;25;5;1;2018;9;10
135;1600;V;Dialysis;800;12;69,808;19;Friday;1;JANUARY;2018;25;5;1;2018;6;7
136;2433;W;Heavy items;620;15;110,0216;18;Thursday;1;JANUARY;2018;24;4;1;2018;6;11
136;2433;W;Heavy items;800;15;110,0216;18;Thursday;1;JANUARY;2018;24;4;1;2018;6;11
136;2433;W;Heavy items;480;15;110,0216;18;Thursday;1;JANUARY;2018;24;4;1;2018;6;11
137;2272;A;Antiblastic/tumoral;2800;49;153,4594;26;Friday;1;JANUARY;2018;26;6;1;2018;0;3
137;2272;A;Antiblastic/tumoral;1000;49;153,4594;26;Friday;1;JANUARY;2018;26;6;1;2018;0;3
138;2506;X; Toxic;300;29;118,7469;23;Tuesday;1;JANUARY;2018;26;6;1;2018;3;6
139;2015;A;Antiblastic/tumoral;672;11;149,3641;25;Thursday;1;JANUARY;2018;25;5;1;2018;0;4
140;3006;A;Antiblastic/tumoral;100;9;155,6913;24;Wednesday;1;JANUARY;2018;24;4;1;2018;0;5
141;5458;D;Diagnostic;135;3;169,9651;26;Friday;1;JANUARY;2018;26;6;1;2018;0;3
142;1837;V;Dialysis;144;1;245,0108;22;Monday;1;JANUARY;2018;29;2;1;2018;7;8
143;1693;D;Diagnostic;5000;50;190,0798;4;Thursday;1;JANUARY;2018;16;3;1;2018;12;26
144;1102;D;Diagnostic;100;51;150,3588;26;Friday;1;JANUARY;2018;26;6;1;2018;0;4
145;5023;N;Nutritional;1200;52;430,3533;29;Monday;1;JANUARY;2018;29;2;1;2018;0;1
146;499;N;Nutritional;600;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;2
147;499;N;Nutritional;1200;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;2
20;2015;A;Antiblastic/tumoral;588;11;149,3641;29;Monday;1;JANUARY;2018;29;2;1;2018;0;2
148;3076;V;Dialysis;1000;53;115,2015;30;Tuesday;1;JANUARY;2018;30;3;1;2018;0;1
149;2479;V;Dialysis;480;14;148,9924;30;Tuesday;1;JANUARY;2018;30;3;1;2018;0;2
149;2479;V;Dialysis;240;14;148,9924;30;Tuesday;1;JANUARY;2018;30;3;1;2018;0;2
150;1558;A;Antiblastic/tumoral;1160;54;146,1687;18;Thursday;1;JANUARY;2018;30;3;1;2018;12;14
151;547;P;Prostatic;200;55;345,1235;3;Wednesday;1;JANUARY;2018;25;5;1;2018;22;29
152;547;P;Prostatic;100;55;345,1235;18;Thursday;1;JANUARY;2018;25;5;1;2018;7;14
153;499;N;Nutritional;588;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
153;499;N;Nutritional;660;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
154;499;N;Nutritional;264;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
153;499;N;Nutritional;264;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
153;499;N;Nutritional;576;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
155;499;N;Nutritional;600;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
153;499;N;Nutritional;288;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
153;499;N;Nutritional;396;8;154,9403;29;Monday;1;JANUARY;2018;30;3;1;2018;1;3
156;6528;D;Diagnostic;500;56;328,335;30;Tuesday;1;JANUARY;2018;30;3;1;2018;0;2
157;499;N;Nutritional;312;8;154,9403;30;Tuesday;1;JANUARY;2018;1;5;2;2018;2;3
82;2433;W;Heavy items;1372;15;110,0216;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
158;2433;W;Heavy items;100;15;110,0216;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
82;2433;W;Heavy items;2646;15;110,0216;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
158;2433;W;Heavy items;600;15;110,0216;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
82;2433;W;Heavy items;882;15;110,0216;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
29;2433;W;Heavy items;700;15;110,0216;29;Monday;1;JANUARY;2018;30;3;1;2018;1;4
159;2433;A;Antiblastic/tumoral;136;15;110,0216;25;Thursday;1;JANUARY;2018;30;3;1;2018;5;8
160;5644;N;Nutritional;1920;47;269,8687;29;Monday;1;JANUARY;2018;29;2;1;2018;0;4
161;5644;N;Nutritional;2304;47;269,8687;29;Monday;1;JANUARY;2018;29;2;1;2018;0;4
161;5644;N;Nutritional;2592;47;269,8687;29;Monday;1;JANUARY;2018;29;2;1;2018;0;4
162;6477;D;Diagnostic;2000;40;8,834028;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
163;6477;D;Diagnostic;400;40;8,834028;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
164;6477;D;Diagnostic;4000;40;8,834028;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
165;6477;D;Diagnostic;500;40;8,834028;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
164;6477;D;Diagnostic;1500;40;8,834028;30;Tuesday;1;JANUARY;2018;31;4;1;2018;1;3
166;1837;A;Antiblastic/tumoral;120;1;245,0108;31;Wednesday;1;JANUARY;2018;2;6;2;2018;2;5
167;1634;Y;Narcotic;360;57;155,0167;16;Tuesday;1;JANUARY;2018;1;5;2;2018;16;20
78;1741;D;Diagnostic;4000;39;115,2781;16;Tuesday;1;JANUARY;2018;30;3;1;2018;14;20
168;3150;V;Dialysis;100;5;59,576;23;Tuesday;1;JANUARY;2018;24;4;1;2018;1;13
169;3150;V;Dialysis;216;5;59,576;23;Tuesday;1;JANUARY;2018;24;4;1;2018;1;13
86;1837;A;Antiblastic/tumoral;100;1;245,0108;31;Wednesday;1;JANUARY;2018;2;6;2;2018;2;5
170;2506;X; Toxic;120;29;118,7469;30;Tuesday;1;JANUARY;2018;1;5;2;2018;2;6
171;5497;N;Nutritional;600;30;184,3942;2;Friday;2;FEBRUARY;2018;2;6;2;2018;0;3
78;1741;D;Diagnostic;4000;39;115,2781;5;Friday;1;JANUARY;2018;30;3;1;2018;25;31
78;1741;D;Diagnostic;400;39;115,2781;5;Friday;1;JANUARY;2018;30;3;1;2018;25;31
172;1837;W;Heavy items;600;1;245,0108;1;Thursday;2;FEBRUARY;2018;5;2;2;2018;4;5
172;1837;W;Heavy items;360;1;245,0108;1;Thursday;2;FEBRUARY;2018;5;2;2;2018;4;5
172;1837;W;Heavy items;340;1;245,0108;1;Thursday;2;FEBRUARY;2018;5;2;2;2018;4;5
172;1837;W;Heavy items;100;1;245,0108;1;Thursday;2;FEBRUARY;2018;5;2;2;2018;4;5
